,jobUrl,jobDescription,asp
5,https://www.reed.co.uk/jobs/senior-data-engineer-sql-python-etl-front-office/52355237,"Senior Data Engineer (SQL Python ETL API Snowflake DBT) London to 110k Are you a tech savvy Data Engineer with experience of working in Front Office / Hedge Fund / Asset Management environments? You could be progressing your career in a senior, hands-on role at a Hedge Fund with over $10 billion under management. As a Senior Data Engineer you'll join a talented team responsible for expanding the Data Platform, encompassing Data Pipelines, Data W... ",36.78641623639046
20,https://www.reed.co.uk/jobs/data-analyst-entry-level/52339663,Are you looking to kickstart your career in data? Join iO-Sphere's Data Analyst Experience Accelerator to land a job as a data analyst at a leading organisation! ------------------------------------------------------------------------------------------------------- Apply now to join our upcoming cohort starting on April 15th: https://io-sphere.io/ea-track/data-analytics-full-time/ -----------------------------------------------------------------... ,43.76598926300698
22,https://www.reed.co.uk/jobs/it-systems-engineer/52438808,"Hours : Full-Time Contract : Permanent Salary : 45,225- 47,379 Closing Date : 22nd of April 2024 Location : Hammersmith Campus About us: At West London College, we are committed to championing innovation and creativity, and we invite you to join us on this journey. We welcome applicants who can share our values of Ambition, Innovation, Accountability and Inclusion. We have three College sites across West London, Ealing, Hammersmith and Southall.... ",45.085915098799035
29,https://www.reed.co.uk/jobs/senior-engineer-quality/52401387,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.&nbsp; At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, informa... ",53.18556846456325
32,https://www.reed.co.uk/jobs/digital-forensic-video-specialist-download-and-data-recovery-team/52332628,"Job Title: Digital Forensic Video Specialist - Download and Data Recovery Team Salary: The starting salary is 51,196, which includes allowances totalling 2,841. The salary is broken down as 48,355 basic salary, which will increase annually until you reach the top of the scale 52,730. Plus, a location allowance of 1,841 and a non-pensionable allowance of 1,000. Location : The role is primarily based in Lambeth HQ, you may also on occasion be requ... ",41.00058535312085
35,https://www.reed.co.uk/jobs/software-engineer/51978447,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.&nbsp; At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, informa... ",47.05859245137965
40,https://www.reed.co.uk/jobs/data-engineer/52258451,"Job Title: Data Engineer Job Overview: They are seeking a skilled and experienced Data Engineer to join their dynamic team in the insurance sector. As a Data Engineer, you will play a crucial role in designing, developing, and maintaining robust data infrastructure and solutions, with a focus on leveraging AWS services. Your expertise in AWS technologies will contribute to optimising data workflows, ensuring data quality, and supporting various ... ",40.75030063061004
47,https://www.reed.co.uk/jobs/data-engineer/52290733,"Are you ready to be a game-changer in the world of sports data? Do you want to be part of a team that's rewriting the playbook on sports analytics? This company is on a mission to revolutionise the beautiful game with cutting-edge data technology, and they need your skills to make it happen. Step onto the field with your new team as Data Engineer and lead the charge in sports data innovation. From scouting talent to optimising game strategy, the... ",40.1349534379675
49,https://www.reed.co.uk/jobs/data-engineer/52428633,"Location: London, Potters Bar, Bristol or Isle of Man (Hybrid working options available) Job Summary The Data Engineer is a technical role responsible for designing, developing, and maintaining data pipelines within the IT department. The pipelines will be realised in a modern lake environment and the engineer will collaborate in cross-functional teams to gather requirements and develop the conceptual data models. This role plays a crucial part ... ",42.92878901704829
50,https://www.reed.co.uk/jobs/data-engineer/52431283,"Overview: Robert Half have partnered with a leading pharmaceutical logistics company who are seeking a talented Data Engineer to join their team, responsible for designing, building, and maintaining robust data pipelines and infrastructure. The ideal candidate will possess expertise in dbt, CI/CD processes, automated unit testing in a data context, and strong SQL skills. This role offers an exciting opportunity to work with cutting-edge technolo... ",39.8293840124252
56,https://www.reed.co.uk/jobs/senior-software-engineer/52148803,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.&nbsp; At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, informa... ",45.69732990670711
65,https://www.reed.co.uk/jobs/senior-data-engineer/52351576,"Senior Data Engineer - 85,000 - London (Hybrid) We have an exciting opportunity for an experience Senior Data Engineer to join an organisation that partners with major brands and retailers to offer solutions and unlock growth. You will be joining an business that values innovation, collaboration and creating an environment built on respect and integrity to ensure faster decision making and transforming operating models. You will be given the opp... ",44.60999509121509
68,https://www.reed.co.uk/jobs/senior-data-engineer/52428372,"Senior Data Engineer | 80-90k pa | 4-day workweek | London (Hybrid) | Unlimited leave |&nbsp; About Climate Policy Radar is on a mission to organise, analyse, and democratise the world’s climate law and policy data. We build open databases and research tools so people can discover, understand, and generate data-driven insights on public laws and policies. Our work helps governments, researchers, international organisations, civil society, and th... ",46.05296520476646
88,https://www.reed.co.uk/jobs/lead-data-engineer/52428612,"Location: London, Potters Bar, Bristol or Isle of Man (hybrid working options available) The Lead Data Engineer is a hands-on technical role responsible for designing, developing, and maintaining data pipelines within the IT department. The pipelines will be realised in a modern lake environment and the engineer will collaborate in cross-functional teams to gather requirements and develop the conceptual data models. This role plays a crucial par... ",50.63849915849402
