,jobUrl,jobDescription,desc
0,https://www.reed.co.uk/jobs/fx-application-support-analyst/52273165,"I'm currently hiring for an FX Application Support Analyst on behalf of a start-up Trading Platform based in the City. You'll be responsible for the front office support of their platform, resolving any issues or bugs and being a part of its continuous improvement. Below are some of the technologies you'll be working on: - FX &amp; FX Options - FIX - SQL - PowerShell, Shell and Python - AWS This is a fantastic opportunity to join a truly unique ... ","  I'm currently hiring for an FX Application Support Analyst on behalf of a start-up Trading Platform based in the City. You'll be responsible for the front office support of their platform, resolving any issues or bugs and being a part of its continuous improvement. Below are some of the technologies you'll be working on: - FX & FX Options - FIX - SQL - PowerShell, Shell and Python - AWS This is a fantastic opportunity to join a truly unique business and a first in their respective industry! If this sounds interesting, please apply with your up-to-date CV for immediate consideration. "
1,https://www.reed.co.uk/jobs/application-support-developer-ai-technologist/52251941,"Application Support Developer / Engineer (C , Java or JavaScript) London / WFH to 55k Do you enjoy solving problems and interacting with clients? You could be progressing your career at a technology company that is producing game changing products using AI and parallel processing for data, video, imaging and point cloud compression. As an Application Support Developer you'll liaise with clients via telephone, video call, email and remote access ... ","  Application Support Developer / Engineer (C++, Java or JavaScript) London / WFH to £55k Do you enjoy solving problems and interacting with clients? You could be progressing your career at a technology company that is producing game changing products using AI and parallel processing for data, video, imaging and point cloud compression. As an Application Support Developer you'll liaise with clients via telephone, video call, email and remote access systems to provide technical support; you'll have a variety of tasks including troubleshooting and debugging of complex code as well as project  planning. You will become a product expert and collaborate with the software engineering team to provide feedback and drive product improvements. WFH Policy: You'll be joining an accomplished and collaborative team based in Central London, with flexibility to work from home 2 days a week. About you:  You're degree educated in a STEM discipline, Computer Science preferredYou have commercial experience within technical support or software developmentYou have good coding skills with C++, Java or JavaScriptYou enjoy problem solving and having a variety of different projectsYou have excellent communication skills and are comfortable liaising with clients and providing customer service What's in it for you: As an Application Support Developer / Engineer you will earn a competitive salary (to £55k) plus benefits including:  PensionPrivate medical careShare optionsPerks such as cycle to work scheme and season ticket loan Apply now to find out more about this Application Support Developer / Engineer (C++, Java or JavaScript) opportunity. At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour,  religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values.  "
2,https://www.reed.co.uk/jobs/trade-application-support-fix-onboarding-specialist/52301681,"Trade Application Support / FIX Onboarding Specialist London to 100k equity Opportunity to join a well-funded start-up within the cryptocurrency space that have produced a high performance, ultra-low latency ECN (Electronic Communication Network) that processes billions of messages per day. As a Trade Application Support / FIX Onboarding Specialist you will play a crucial role in ensuring a seamless customer experience for global, institutional ... ","  Trade Application Support / FIX Onboarding Specialist London to £100k + equity  Opportunity to join a well-funded start-up within the cryptocurrency space that have produced a high performance, ultra-low latency ECN (Electronic Communication Network) that processes billions of messages per day. As a Trade Application Support / FIX Onboarding Specialist you will play a crucial role in ensuring a seamless customer experience for global, institutional clients. You'll proactively engage with clients throughout the onboarding, integration and trading lifecycle to include creation and configuration of accounts and the set up and maintenance of network connections. You'll also provide technical support to clients, quickly identifying and responding to technical issues within a live trading environment; you'll liaise between the client, product and engineering teams, providing feedback on client operations, new automation  requirements and platform functionality enhancements. Location / WFH: You'll join a small team within a tech start-up environment; you'll be based in the City office with flexibility to work from home once a week. About you:  You have client onboarding / technical support experienceYou have advanced experience with FIX protocol and a strong knowledge of Linux OS, including command line operations and bash scripting, Python would also be of benefitYou have experience with FX technology or trading (Cryptocurrency experience would be great but not expected)You have meticulous attention to detail and the ability to prioritise effectivelyYou have excellent communication and customer service skills What's in it for you:  Salary to £100k + equity (potentially life changing)Opportunity to be an early member of an early stage start-up that is set to be hugeContinuous self-development and career growth opportunities as the company scales Apply now to find out more about this Trade Application Support / FIX Onboarding Specialist opportunity. At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion,  sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values. "
3,https://www.reed.co.uk/jobs/support-worker/42647149,"Do you have the commitment and values to make a real difference to the lives of people with care needs? Are you passionate about empowering them to improve their quality of life, while supporting them to realise their hopes, dreams and aspirations? Creative Support is a not-for-profit organisation which provides high quality, person-centred support. We are looking for Support Workers for our Tower Hamlets service who are highly motivated, hardwo... ","  Do you have the commitment and values to make a real difference to the lives of people with care needs? Are you passionate about empowering them to improve their quality of life, while supporting them to realise their hopes, dreams and aspirations? Creative Support is a not-for-profit organisation which provides high quality, person-centred support. We are looking for Support Workers for our Tower Hamlets service who are highly motivated, hardworking, and keen to support older people and individuals with learning disabilities and dementia in a proactive and holistic manner. You will be based at our  Tower Hamlets supported living service, consisting of 40 flats. Your role as a Support Worker will include:  Helping people to maintain a healthy state of wellbeing – mentally, physically and emotionallyEmpowering individuals to be happy, healthy, and successful in achieving their life goalsProviding excellent, respectful personal care to all service users, administering medication and helping with domestic tasksSupporting individuals to access work, education and social opportunitiesEnsuring the safety of the service You will have skills in positive communication and engagement, and will be able to demonstrate unconditional positive regard for all of our service users. Our Tower Hamlets service is very close to Langdon Park and is well-connected. It is only five minutes’ walk from a bus stop and there is a supermarket nearby as well. You will have the choice of either weekly or monthly pay.  You will be required to work in a flexible manner, on a roster basis, which will include evenings and weekends. Previous experience, whilst desirable, is not necessary for this Support Worker role – what we need most from you is warmth, kindness, and a positive,  can-do attitude. Benefits of working with Creative Support: We offer all employees competitive pay and a pension contribution in addition to 28 days annual leave. As an employer that is committed to the professional development of our staff we also support our care staff to complete the nationally recognised Care  Certificate and pay for your enhanced DBS. Additional benefits include enhanced maternity leave, employee support programmes and an additional day of leave each year on or around your Birthday. Creative Support is a passionate, inclusive, and anti-racist organisation. We are a Stonewall Diversity Champion, Disability Confident Employer, who have recently received Investors in People Gold award. We actively encourage applications from candidates  from all backgrounds and cultures, however we can only accept fully completed applications from those located in and eligible to work within the UK – Please be aware we are currently at full capacity with our Visa Sponsor Licenses, therefore we are not accepting applicants who are seeking sponsorship. We are also not accepting applicants who are currently on a Skilled Worker Visa, seeking secondary employment, as we are unable to actively track the hours worked with the primary sponsor. We will be interviewing for this role as suitable applications are received and may close this role before the closing date upon a successful candidate being appointed. We do not notify unsuccessful candidates of their outcome at application stage, previously unsuccessful applicants must wait six months before reapplying. "
4,https://www.reed.co.uk/jobs/support-worker/42647088,"Do you have the commitment and values to make a real difference to the lives of people with moderate learning disabilities? Are you passionate about empowering them to improve their quality of life, whilst supporting them to maintain their independence and realise their hopes, dreams and aspirations? Creative Support is a not-for-profit organisation which provides high quality, person-centred support to people with learning disabilities and othe... ","  Do you have the commitment and values to make a real difference to the lives of people with moderate learning disabilities? Are you passionate about empowering them to improve their quality of life, whilst supporting them to maintain their  independence and realise their hopes, dreams and aspirations? Creative Support is a not-for-profit organisation which provides high quality, person-centred support to people with learning disabilities and other support needs. We support people to live their chosen lifestyle and tailor our services to suit the needs of the individuals, whilst encouraging community engagement. This is an exciting time to join our Camden services, as we increase our presence in the borough. Creative Support is committed to your continuous professional development. As a successful candidate, you will receive a full local and corporate induction,  and attain a level 3 certificate in ‘Preparing to Work in Adult Social Care’. On completion of your probationary period, you will automatically be enrolled onto the NVQ level 3 diploma in Health and Social Care. You will have access to ongoing professional  development from our training offices in London and Reading, and the opportunity to discuss your training and development needs during regular supervision and appraisal meetings. We are looking for calm, resourceful, and energetic individuals who are highly motivated, hardworking, and keen to support people with moderate learning disabilities in a proactive and holistic manner. You will have well-honed skills in positive communication and engagement, and will be able to demonstrate unconditional positive regard for all our service users. You will support  people to maintain their independence whilst promoting choice and control. You will (alongside members of the person’s circle of support) empower individuals to be happy and successful in achieving their life goals and will maintain their wellbeing; mentally, physically and emotionally.  You must be willing to embrace all aspects of the role including, but not limited to, providing support with personal care and domestic tasks, and supporting individuals to access work, education and social opportunities. We value the personal skills and interests you bring to the role and to the lives of the people we support, such as, sports and outdoor pursuits, creative arts, music, and cooking to name but a few. You will be required to work in a flexible manner, on a roster basis, which will include evenings, weekends and sleep-ins. Previous experience, whilst desirable, is not necessary – what we need most from you is gumption and a can-do attitude. We offer all employees competitive pay and a pension contribution in addition to 28 days annual leave. As an employer that is committed to the professional development of our staff we also support our care staff to complete the nationally recognised Care  Certificate and pay for your enhanced DBS. Additional benefits include enhanced maternity leave, employee support programmes and an additional day of leave each year on or around your Birthday. Creative Support is a passionate, inclusive, and anti-racist organisation. We are a Stonewall Diversity Champion, Disability Confident Employer, who have recently received Investors in People Gold award. We actively encourage applications from candidates  from all backgrounds and cultures, however we can only accept fully completed applications from those located in and eligible to work within the UK – Please be aware we are currently at full capacity with our Visa Sponsor Licenses, therefore we are not accepting applicants who are seeking sponsorship. We are also not accepting applicants who are currently on a Skilled Worker Visa, seeking secondary employment, as we are unable to actively track the hours worked with the primary sponsor. We will be interviewing for this role as suitable applications are received and may close this role before the closing date upon a successful candidate being appointed. We do not notify unsuccessful candidates of their outcome at application stage, previously unsuccessful applicants must wait six months before reapplying. "
5,https://www.reed.co.uk/jobs/support-officer/52393247,"Job Title: &nbsp;Support Officer&nbsp; Contract Type: Permanent&nbsp; Salary: 26,037 Working Hours: 37.5hrs per week&nbsp; Working Pattern: Rolling Rota, Early &amp; Late Shifts &amp; Sleep Ins required&nbsp; Location: &nbsp;Salvesen House, Hackney&nbsp; For your application to be considered please ensure you attach a current CV and cover letter.&nbsp;&nbsp; Applications may close before the deadline, so please apply early to avoid disappointmen... "," Job Title:  Support Officer Contract Type: Permanent Salary: £26,037Working Hours: 37.5hrs per week Working Pattern: Rolling Rota, Early & Late Shifts & Sleep Ins required Location:  Salvesen House, Hackney For your application to be considered please ensure you attach a current CV and cover letter.  Applications may close before the deadline, so please apply early to avoid disappointment. Why Riverside? At Riverside, we’re a housing association with a difference – enhancing the everyday for all our customers. For 90 years, we’ve been revitalising neighbourhoods and supporting communities by providing the homes they need to live full, fulfilling and rewarding  lives.  We have a portfolio of over 75,000 affordable residential and retirement homes across the UK. Our work ranges from homelessness services to social care, employment support to retirement living, and we need the best people on board to help us. Working with us, you’ll enjoy: ·         Competitive pay & generous pension  ·         28 days holidays plus bank holidays·         Flexible working options available ·         Investment in your learning, personal development and technology ·         A wide range of benefits  Mental Health:Our Mental Health team is vital to helping us deliver on this vision. We work to transform the life experience of people with mental health support needs. The support we provide is delivered in a range of settings (like supported housing, assessment centres  and outreach) and our customers’ support needs can include psychosis, forensic and personality disorders. We believe in providing care and support to our clients that will enable them to make informed decisions about their life that will increase their sense of wellbeing: this might be greater independence, better coping strategies or a richer network and sense  of self achievement. We offer you the chance to develop your own skills through regular line management supervision, reflective practice, access to a ten-day course on relevant mental health topics and working together with your specialist colleagues. Our Homelessness and Prevention team is friendly and we love what we do. We are passionate about the high-quality support we provide. Working in care can be demanding, but our colleagues are always kind and compassionate no matter what challenges they encounter.  As part of our team you will be doing work you can be proud of, ensuring the safety and happiness of our customers in their home.The difference you will make as a Support Worker We believe in providing care and support to our clients that will enable them to make informed decisions about their life that will increase their sense of wellbeing: this might be greater independence, better coping strategies or a richer network and sense  of self achievement. You will be working from one of our supported services providing support to our customers in a variety of ways.Some of your responsibilities will include:  Carry out assessment to identify and prioritize needs. Use SMART goal planning to provide needs led holistic support. Create an environment that promotes opportunities for customers to develop, learn and enable skills towards independence. Provide a comprehensive support planning service to customers in line with the department’s policies, procedures, and approach. Ensure customers are fully informed of their rights and responsibilities regarding the service and are enabled and empowered to get involved in the running of the service through consultation and participation. Set up and maintain customer files and ensure that accurate and up to date records are kept of support provided to customers in accordance with HCS policies.  About YouWe are looking for someone who believes in working together as part of a team, who shares our values and who is committed to achieving positive outcomes for all of our customers. The successful candidate will have:  Experience of working with vulnerable people with a range of needs in a support capacity A genuine passion for working with people. Good communication skills and the ability to engage with and respect the needs of vulnerable people. Excellent team working skills with a creative flair and ability to think outside of the box. Housing sector knowledge including housing benefit applications. Strong IT and social media skills to manage and maintain administration and recording systems.  Role Profile•   Work on a rota basis, including out of office hours where necessary•   Comply with all relevant policies & procedures, including but not limited to: Safeguarding, Health & Safety, Customer Care,        Equality & Diversity, the Code of Conduct etc.•   Carry out assessment to identify and prioritise needs•   Use SMART goal planning to provide needs led holistic support•   Develop and maintain positive links with key stakeholders •   Create an environment that promotes opportunities for customers to develop, learn and enable skills towards independence•   Where required, administer medication & ensure appropriate records are ma..."
6,https://www.reed.co.uk/jobs/support-worker/52232607,"Contract type: This is a permanent post with funding confirmed to 31st March 2025 Hours: 37 per week Available posts: 1 Purpose: Established in 2014, the National Counter Trafficking Centre runs several programmes across England and Wales. One of these is the Independent Child Trafficking Guardianship Service (ICTG) as outlined in Section 48 of The Modern Slavery Act 2015. The legislation provides a duty to support all children and young people ... ","  Contract type: This is a permanent post with funding confirmed to 31st March 2025 Hours: 37 per week Available posts: 1 Purpose: Established in 2014, the National Counter Trafficking Centre runs several programmes across England and Wales. One of these is the Independent Child Trafficking Guardianship Service (ICTG) as outlined in Section 48 of The Modern Slavery Act 2015.  The legislation provides a duty to support all children and young people who have been trafficked and reside within one of these areas: Wales/Cymru, East Midlands, West Midlands Combined Authorities, Bedfordshire, Gloucestershire (including Bristol), Warwickshire,  all London Boroughs, Hampshire and the Isle of Wight (including Portsmouth and Southampton), Kent, Surrey, Essex, Greater Manchester, North and West Yorkshire, Lancashire and Merseyside.?? To apply for this role you must live within a 40 miles radius of one  of the area's stated above. Do you want to improve the lives of young people affected by modern slavery? Do you have immigration, social care, or criminal justice experience? Are you ready to join a passionate growing team and step up to this challenge? If your answers are  yes, we want to hear from you. Do you drive? Do you have access to a car? If the answers are yes, we want to hear from you. What are the responsibilities of the Support Worker - Independent Child Trafficking Guardianship Service: Support for Children: Independent Child Trafficking Guardians support children who have experienced trafficking and exploitation, working alongside other professionals to ensure that children receive appropriate support in line with their needs. Within this role you will:  To work as part of the team, to act as the initial point of contact for all general enquiries and referrals into the service.To ensure referrals made into the service, are recorded accurately and electronic files are opened and completed with relevant information.To support the Guardianship Assessment team in gathering the child's key information, by liaising with external partners, such as Social Workers, Police, Foster Carer. To maintain up to date and accurate recordings on the children's electronic files. National Work:  To provide oversight and monitor various communications methods used within the team and service. For example, emails boxes, phone system, online enquiries, etc.Collation of resources such as leaflets, reports, worksheets - ensuring all identified useful resources are stored / catalogued on electronic systems.Where appropriate contribute to national awareness raising sessionsContribute to national development work via workstreams within the National CentreContribute to the national on call rota Home based with potential for extensive travel within your relevant region.  The starting salary for this role is £23,400.00 (Full Time Equivalent), other salaries are shown so that applicants are aware of the progression salaries.  Although this contract has a permanent status, please be aware that this post is subject to funding currently until March 2025 and therefore should this funding not be extended further, you may be subject to a redundancy consultation  or a TUPE arrangement. This contract is due to expire on March 2025. Please note due to the high volume of applications for some posts, this advert might close before the displayed closing date. We recommend that you apply for this role as soon as possible Pay & Reward Framework We know that our colleagues go above and beyond in delivering our vital work, driven by their passion and commitment to Barnardo's values. We also know that we can only realise our ambitions and achieve better outcomes for more children, thanks to the talent,  hard work and creativity of our people. For all these reasons, we are committed to a new approach to pay and reward, to ensure it is fair, attractive and progressive, which was rolled out 1st April 2023. This is a positive change for the charity, and a key pillar of our People & Culture Strategy.  It will assist us in supporting colleagues to grow and develop in their career at Barnardo's as it will offer clear routes of progression for colleagues to progress through the pay band of their role. Whilst the full pay band and salary range is advertised, our approach to starting salaries is to appoint between the minimum to mid-point of the pay band - this ensures that pay progression steps are available to reward our colleagues annually based on their  contribution to excellence and alignment to our values and behaviours. More details on Barnardo's pay framework can be found upon application. Benefits Workplace Offer: What it means for you  Barnardo's believe in creating equality of opportunity in the workplace and supporting people to manage their work-life balance; we are therefore open to offering flexible working arrangements.26 days annual leave plus bank holidays, increasing after 5 years serviceThe ability to buy up to another 5 days annual leave via our HolidayPlus schemeA host of family friendly leave options including company Maternity Paternity and Adoption pay; together with all family additional leave optionsService related sick pay from day 1Access to a Group Personal Pension with a matched 4% or 6% contribution from Barnardo's. Ability to pay via salary sacrifice to garner both tax and NI savings on your own contributionDeath in service cover of 4x annual earnings for all staff contributing to our Group Personal PensionCycle2work schemeInterest free season ticket loansDiscounts and cashback from at high street shops including major supermarkets, cinemas, gyms, leisure/theme parks, holidays and much more via our Benefit Portal20% discount at Barnardo's storesOpportunity to purchase a health cash plan to claim towards dental, glasses, therapy etcFree access to round the clock employee assistance program for advice and supportAccess to Barnardo's Learning and Development offer "
7,https://www.reed.co.uk/jobs/relief-support-worker/42646999,"Are you a warm, highly motivated person with person-centred values who can empower and support people with a learning disability to transform their lives?&nbsp; Are you creative, proactive and willing to go the extra mile to enable people to achieve their aspirations? We are recruiting a new team to support tenants with a learning disability or autism some of whom may have other needs including physical disabilities, behaviour which may challeng... ","  Are you a warm, highly motivated person with person-centred values who can empower and support people with a learning disability to transform their lives?  Are you creative, proactive and willing to go the extra mile to enable people to achieve their aspirations? We are recruiting a new team to support tenants with a learning disability or autism some of whom may have other needs including physical disabilities, behaviour which may challenge and mental health needs. You will be supporting service users to enjoy a  fantastic quality of life in a new-build development of 7 self-contained flats, purpose designed to maximise independence and community connections. The accommodation is located in a very pleasant residential location in Tooting Bec, close to bus routes and  local amenities. We require flexible and reliable bank workers to support our staff to provide a high quality service. This rewarding role will require working shifts which suit you and meet service user needs. Available shifts will include weekdays, evenings, weekends,  bank holidays and sleep-ins. You must be committed to an empowering approach to support which enables people to lead fulfilling and valued lives, maintain their tenancies, participate in their local community, develop independent living skills and achieve their personal goals and desired  outcomes.  As well as providing direct care and support, you will have the opportunity to support people to achieve their dreams and goals. Service users may enter the service at different stages in their life including: transition into adulthood, moving into  old age, times of crisis or ill health and when approaching end of life. We offer our bank workers on-going free mandatory and service specific training and we can support you to complete the Care Certificate. We will offer you supportive management and good availability of work. The service is located in Tooting Bec and is easily accessible by public transport, including buses and overground. To find out more about this opportunity please feel free to contact Pia Parekh,  Senior Service Manager, at or . Creative Support is a passionate, inclusive, and anti-racist organisation. We are a Stonewall Diversity Champion, Disability Confident Employer, who have recently received Investors in People Gold award. We actively encourage applications from candidates  from all backgrounds and cultures, however we can only accept fully completed applications from those located in and eligible to work within the UK – This post will not be open to Sponsorship under the UKVI scheme. We are also not accepting applicants who  are currently on a Skilled Worker Visa, seeking secondary employment, as we are unable to actively track the hours worked with the primary sponsor. Please note, we do not accept CVs as a form of application. We will be interviewing for this role as suitable applications are received and may close this role before the closing date upon a successful candidate being appointed. We do not notify unsuccessful candidates of their outcome at application stage, previously  unsuccessful applicants must wait six months before reapplying. "
8,https://www.reed.co.uk/jobs/behaviour-support-worker/52294902,"This role has a starting salary of 31,262 per annum, based on a 36-hour working week. We are excited to be hiring a new Behaviour Support Worker to join our fantastic CCISS team! Rewards and Benefits 26 days' holiday (prorated for part time staff), rising to 28 days after 2 years' service and 30 days after 5 years' service Option to buy up to 10 days of additional annual leave An extensive Employee Assistance Programme (EAP) to support health an... ","  This role has a starting salary of £31,262 per annum, based on a 36-hour working week. We are excited to be hiring a new Behaviour Support Worker to join our fantastic CCISS team! Rewards and Benefits  26 days' holiday (prorated for part time staff), rising to 28 days after 2 years' service and 30 days after 5 years' serviceOption to buy up to 10 days of additional annual leaveAn extensive Employee Assistance Programme (EAP) to support health and wellbeingUp to 5 days of carer's leave per yearPaternity, adoption and dependents leaveA generous local government salary related pensionLifestyle discounts including gym, travel, shopping and many more2 paid volunteering days plus 1 team volunteering day per yearLearning and development hub where you can access a wealth of resources About the Team We are a person centred, highly motivated and innovative team working with children and young people from 4-18 years old who have a learning disability and/or autism with behaviours of concern, to prevent family or placement breakdown. All our work is underpinned by the positive behaviour support framework and an understanding that all behaviours are a form of communication. About the Role In this role, you will be provided with the opportunity to build your knowledge, experience and skills in supporting children and young people who have autism, learning disabilities and behaviours of concern. You will also work with the families of these  children and young people. As a Behaviour Support Worker, you will be assessing children's behavioural functions and identifying appropriate strategies/environmental changes that can be implemented to reduce behaviours of concern. This will involve identifying on-going or long-term  support needs. In this role you will be visiting family homes and school settings (when appropriate) to make observations and offer hands-on support. You will also be on call to respond to any 'crisis' situations in the community across the county. We work  from 2pm to 10pm Monday - Friday and from 9am to 5pm on Saturdays. Shortlisting Crieria To be considered for shortlisting for interview your application should clearly evidence the following:  Experience working with children or adults with LD and ASC / behaviours of concern.Educated to GCSE standard OR have Functional Skills Level 2 in Maths and English.Experience/knowledge of SEND process and pathway.Willingness to work out of hours when needed.You will need the willingness and ability to travel around the county to meet the demands of this role We will provide coaching in positive behaviour support and identify any further training needs to meet the requirements of the role. The job advert closes at 23:59 on 7th April 2024 with interviews to follow. Our Commitment Surrey County Council is proud to be a Disability Confident Employer. A guaranteed interview will be offered to all disabled applications where:  The candidate has evidenced the minimum criteria for the role through their applicationThe candidate has chosen to share that they have a disability on the application form Our application form and onboarding process will provide an opportunity to request any reasonable adjustments for the interview and/or the role. We want to be an inclusive and diverse employer reflecting the community we serve and particularly welcome applications  from all underrepresented groups. "
9,https://www.reed.co.uk/jobs/business-support-administrator/52380853,"This role has a starting salary of 27,897 per annum based on a 36-hour working week. The working hours are 9am-5pm, Monday to Friday. We have a fantastic opportunity within our team! We are hiring a new Business Support Administrator to support the business needs of our thriving outdoor learning provision, Surrey Outdoor Learning and Development (SOLD). By joining our small, vibrant team, based in a beautiful rural?location in the Surrey Hills y... ","  This role has a starting salary of £27,897 per annum based on a 36-hour working week. The working hours are 9am-5pm, Monday to Friday. We have a fantastic opportunity within our team! We are hiring a new Business Support Administrator to support the business needs of our thriving outdoor learning provision, Surrey Outdoor Learning and Development (SOLD). By joining our  small, vibrant team, based in a beautiful rural?location in the Surrey Hills you will be part of an organisation that makes a positive and long-lasting impact on people's lives. This role is onsite and our office is based in Mickleham, Dorking at High Ashurst Outdoor Centre. Rewards and Benefits  Working amongst a friendly and dynamic team26 days' holiday rising to 28 days after 2 years' service and 30 days after 5 years' serviceOption to buy up to 10 days of additional annual leaveAn extensive Employee Assistance Programme (EAP) to support health and wellbeingUp to 5 days of carer's leave per yearPaternity, adoption and dependants leaveA generous local government salary related pensionLifestyle discounts including gym, travel, shopping and many more2 paid volunteering days plus 1 team volunteering day per yearLearning and development hub where you can access a wealth of resourcesFree parking on site About the Team At SOLD we pride ourselves on delivering exceptional outdoor learning programs that inspire and engage both young people and adults alike. Our mission is to enrich personal and social development, elevate achievement and foster aspirations in life. About the Role As Business Support Administrator your role will include a range of interesting customer services including:  Dealing with enquiriesLiaising with, and managing bookings for, our customersWorking in the areas of OutreachSupporting workplace conferences, meeting and commissioning workDealing with general business support functions Shortlisting Criteria To be considered for shortlisting for this position your CV and personal statement will clearly evidence the following:  Relevant business administration to NVQ L2/3, or able to evidence knowledge and understanding of business support functionsCompetent in a range of IT toolsMinimum of 5 GCSE's at Grade C or above or equivalentExcellent written and oral communication skills with the ability to build sound relationships with customersAbility to prioritise and plan own workload and work using own initiative Contact us Please contact us for any questions relating to the role. This could be to discuss flexible working requests, transferable skills or any barriers to employment. The job advert closes at 23:59 on 24th April 2024 with interviews planned on Wednesday 1st May 2024. We look forward to receiving your application, please click on the apply online button below to submit. An enhanced DBS 'Disclosure and Barring Service' check for regulated activity (formerly known as CRB) and the Children's and Adults' Barred List checks will be required for this role. Our Commitment Surrey County Council is proud to be a Disability Confident Employer. A guaranteed interview will be offered to all disabled applications where:  The candidate has evidenced the minimum criteria for the role through their applicationThe candidate has chosen to share that they have a disability on the application form Our application form and onboarding process will provide an opportunity to request any reasonable adjustments for the interview and/or the role. We want to be an inclusive and diverse employer reflecting the community we serve and particularly welcome applications from all underrepresented groups. "
